"word","frequency"
"заживать",8
"человек",6
"делать",5
"жж»",5
"маленький",5
"говорить",4
"конец",4
"любовь",4
"мост",4
"сила",4
"хотеть",4
"боль",3
"быть",3
"вещь",3
"вть",3
"день",3
"дом",3
"запах",3
"красный",3
"лицо",3
"место",3
"можно",3
"никогда",3
"погода",3
"потом",3
"прикосновение",3
"сердце",3
"сказать",3
"теперь",3
"туман",3
"утро",3
"фуг",3
"бездомный",2
"бешенство",2
"больно",2
"больше",2
"вместе",2
"вн»",2
"всегда",2
"глаз",2
"глубина",2
"горизонт",2
"дерево",2
"должен",2
"другой",2
"душа",2
"жалость",2
"животное",2
"жёлтый",2
"здесь",2
"земля",2
"иногда",2
"лист",2
"любить",2
"небо",2
"нежный",2
"ночь",2
"ный",2
"оказываться",2
"осень",2
"отвечать",2
"ошибка",2
"пережить",2
"пожалуйста",2
"пока",2
"пора",2
"поэзия",2
"работа",2
"равный",2
"рука",2
"самый",2
"свидетель",2
"скра",2
"смотреть",2
"снег",2
"солнце",2
"страх",2
"сумерки",2
"тихий",2
"точка",2
"удаляться",2
"удар",2
"цвет",2
"чёрный",2
"«Здравствуйте»",1
"«Неумер",1
"«выломиться",1
"«жить",1
"«землистый",1
"«мечтать",1
"«небесный",1
"«недель",1
"«пожухлые»",1
"«прость",1
"Барт",1
"Гаита",1
"Идой",1
"Конечно",1
"Липова",1
"Лупоглазый",1
"Незнавать",1
"Снигиревский",1
"Товп",1
"Ускользать",1
"Херувимый",1
"аКафкин",1
"адресат",1
"алтарь",1
"ампутация",1
"аон",1
"арматура",1
"балкон",1
"балясин",1
"банально",1
"бедро",1
"безмятежно",1
"безответный",1
"безрадостно",1
"безразмерный",1
"белок",1
"береговой",1
"беспомощна",1
"беспомощно",1
"бестактный",1
"битый",1
"близость",1
"более",1
"болезненно",1
"болеть",1
"большой",1
"брандмауэр",1
"брать",1
"бугра",1
"бутылка",1
"вать",1
"вельветовый",1
"вероятность",1
"ветреный",1
"вечер",1
"вечерний",1
"взаймы",1
"видеть",1
"видно",1
"витрина",1
"влажность",1
"вовлечённость",1
"вовсе",1
"воздействие",1
"возможно",1
"война",1
"войти",1
"волос",1
"воображение",1
"вообще",1
"вопрошать",1
"впрочем",1
"всеобщий",1
"вспоминать",1
"вспущенный",1
"встреча",1
"встречный",1
"второй",1
"втуман",1
"въезд",1
"выделение",1
"вызвать",1
"выйти",1
"выморочность",1
"выносить",1
"выражение",1
"высматривать",1
"высокий",1
"вычитать",1
"гадательно»",1
"гарь",1
"где",1
"головокружительность",1
"гора",1
"горб",1
"город",1
"горчичный",1
"горящий",1
"грусть",1
"гусь",1
"давать",1
"дать",1
"действие",1
"действительно",1
"действительность",1
"деловитость",1
"держа",1
"джинсы",1
"дистанция",1
"дователь",1
"доверительный",1
"дорога",1
"дорожка",1
"дотрагиваться",1
"драгоценне",1
"дрейфовать",1
"дрожать",1
"друг",1
"друид",1
"дуб",1
"думать",1
"дывать",1
"дым",1
"единственный",1
"ехать",1
"еще",1
"жалоба",1
"железный",1
"жест",1
"жесть",1
"жизнь",1
"жить",1
"забор",1
"зайти",1
"закуривать",1
"заливать",1
"замарать",1
"запястье",1
"затянуться",1
"защищать",1
"звон",1
"звёзд",1
"зелёный",1
"зима",1
"зимородка",1
"злой",1
"знакомец",1
"знать",1
"золотой",1
"зона",1
"зрение",1
"ивый",1
"иеж",1
"избегнуть",1
"избыток",1
"излучение",1
"илампочка",1
"интерлюдия",1
"испытывать",1
"иссло",1
"истерический",1
"исток",1
"йоктосекунда",1
"какема",1
"какесли",1
"какесль",1
"какон",1
"катер",1
"кафе",1
"качество",1
"кинжал",1
"кинопроцесса",1
"клок",1
"кожа",1
"кожурый",1
"колесо",1
"колокольный",1
"колонный",1
"комната",1
"компактный",1
"конечно",1
"коньяк",1
"коричневый",1
"короткий",1
"космонавт",1
"космос",1
"коснуться",1
"костер",1
"кофе",1
"красиво",1
"красненький",1
"крепкий",1
"крик",1
"кропотливый",1
"кружочка",1
"крушение",1
"крыша",1
"кукушка",1
"куста",1
